Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,symptoms,clean_text
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,itching  nodal_skin_eruptions  dischromic _patches,itching nodal skin eruptions dischromic patches
Fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,itching  skin_rash  dischromic _patches,itching skin rash dischromic patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,itching  skin_rash  nodal_skin_eruptions,itching skin rash nodal skin eruptions
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,itching  skin_rash  nodal_skin_eruptions  dischromic _patches,itching skin rash nodal skin eruptions dischromic patches
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,, continuous_sneezing  shivering  chills  watering_from_eyes, continuous sneezing shivering chills watering from eyes
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,, shivering  chills  watering_from_eyes, shivering chills watering from eyes
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  chills  watering_from_eyes, continuous sneezing chills watering from eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  shivering  watering_from_eyes, continuous sneezing shivering watering from eyes
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,, continuous_sneezing  shivering  chills, continuous sneezing shivering chills
Allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,, shivering  chills  watering_from_eyes, shivering chills watering from eyes
Allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  chills  watering_from_eyes, continuous sneezing chills watering from eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,, continuous_sneezing  shivering  watering_from_eyes, continuous sneezing shivering watering from eyes
Allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,, continuous_sneezing  shivering  chills, continuous sneezing shivering chills
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,, continuous_sneezing  shivering  chills  watering_from_eyes, continuous sneezing shivering chills watering from eyes
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  vomiting  cough  chest_pain, stomach pain acidity ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain, stomach pain ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  vomiting  cough  chest_pain, stomach pain acidity vomiting cough chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain, stomach pain acidity ulcers on tongue cough chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  vomiting  chest_pain, stomach pain acidity ulcers on tongue vomiting chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  vomiting  cough, stomach pain acidity ulcers on tongue vomiting cough
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,, acidity  ulcers_on_tongue  vomiting  cough  chest_pain, acidity ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  ulcers_on_tongue  vomiting  cough  chest_pain, stomach pain ulcers on tongue vomiting cough chest pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  vomiting  cough  chest_pain, stomach pain acidity vomiting cough chest pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,, stomach_pain  acidity  ulcers_on_tongue  cough  chest_pain, stomach pain acidity ulcers on tongue cough chest pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,, vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes, vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  yellowish_skin  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin nausea abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  loss_of_appetite  yellowing_of_eyes,itching vomiting yellowish skin nausea loss of appetite yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain,itching vomiting yellowish skin nausea loss of appetite abdominal pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain  yellowing_of_eyes,itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,itching  skin_rash  stomach_pain  burning_micturition  spotting_ urination,itching skin rash stomach pain burning micturition spotting urination
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching  stomach_pain  burning_micturition  spotting_ urination,itching stomach pain burning micturition spotting urination
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching  skin_rash  burning_micturition  spotting_ urination,itching skin rash burning micturition spotting urination
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,itching  skin_rash  stomach_pain  spotting_ urination,itching skin rash stomach pain spotting urination
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,itching  skin_rash  stomach_pain  burning_micturition,itching skin rash stomach pain burning micturition
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,, skin_rash  stomach_pain  burning_micturition  spotting_ urination, skin rash stomach pain burning micturition spotting urination
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching  stomach_pain  burning_micturition  spotting_ urination,itching stomach pain burning micturition spotting urination
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,itching  skin_rash  burning_micturition  spotting_ urination,itching skin rash burning micturition spotting urination
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,itching  skin_rash  stomach_pain  spotting_ urination,itching skin rash stomach pain spotting urination
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,itching  skin_rash  stomach_pain  burning_micturition,itching skin rash stomach pain burning micturition
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching, vomiting loss of appetite abdominal pain passage of gases internal itching
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching, vomiting indigestion abdominal pain passage of gases internal itching
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching, indigestion loss of appetite abdominal pain passage of gases internal itching
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching, vomiting loss of appetite abdominal pain passage of gases internal itching
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,, vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching, vomiting indigestion abdominal pain passage of gases internal itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,, vomiting  indigestion  loss_of_appetite  passage_of_gases  internal_itching, vomiting indigestion loss of appetite passage of gases internal itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,, vomiting  indigestion  loss_of_appetite  abdominal_pain  internal_itching, vomiting indigestion loss of appetite abdominal pain internal itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,, vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases, vomiting indigestion loss of appetite abdominal pain passage of gases
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,, vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching, vomiting indigestion loss of appetite abdominal pain passage of gases internal itching
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,, vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching, vomiting indigestion loss of appetite abdominal pain passage of gases internal itching
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts, muscle wasting patches in throat high fever extra marital contacts
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, patches_in_throat  high_fever  extra_marital_contacts, patches in throat high fever extra marital contacts
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, muscle_wasting  high_fever  extra_marital_contacts, muscle wasting high fever extra marital contacts
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,, muscle_wasting  patches_in_throat  extra_marital_contacts, muscle wasting patches in throat extra marital contacts
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,, muscle_wasting  patches_in_throat  high_fever, muscle wasting patches in throat high fever
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts, muscle wasting patches in throat high fever extra marital contacts
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,, muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts, muscle wasting patches in throat high fever extra marital contacts
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, patches_in_throat  high_fever  extra_marital_contacts, patches in throat high fever extra marital contacts
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,, muscle_wasting  high_fever  extra_marital_contacts, muscle wasting high fever extra marital contacts
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,, muscle_wasting  patches_in_throat  high_fever, muscle wasting patches in throat high fever
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,, fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,, fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, fatigue  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, fatigue restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, fatigue  weight_loss  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, fatigue weight loss lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, fatigue  weight_loss  restlessness  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, fatigue weight loss restlessness irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, fatigue  weight_loss  restlessness  lethargy  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria, fatigue weight loss restlessness lethargy blurred and distorted vision obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,, fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  obesity  excessive_hunger  increased_appetite  polyuria, fatigue weight loss restlessness lethargy irregular sugar level obesity excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,, fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  excessive_hunger  increased_appetite  polyuria, fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision excessive hunger increased appetite polyuria
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,, fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  increased_appetite  polyuria, fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,, vomiting  sunken_eyes  dehydration  diarrhoea, vomiting sunken eyes dehydration diarrhoea
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,, vomiting  sunken_eyes  dehydration  diarrhoea, vomiting sunken eyes dehydration diarrhoea
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,, sunken_eyes  dehydration  diarrhoea, sunken eyes dehydration diarrhoea
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,, vomiting  dehydration  diarrhoea, vomiting dehydration diarrhoea
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,, vomiting  sunken_eyes  diarrhoea, vomiting sunken eyes diarrhoea
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,, vomiting  sunken_eyes  dehydration, vomiting sunken eyes dehydration
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,, vomiting  sunken_eyes  dehydration  diarrhoea, vomiting sunken eyes dehydration diarrhoea
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,, sunken_eyes  dehydration  diarrhoea, sunken eyes dehydration diarrhoea
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,, vomiting  dehydration  diarrhoea, vomiting dehydration diarrhoea
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,, vomiting  sunken_eyes  diarrhoea, vomiting sunken eyes diarrhoea
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,, fatigue  cough  high_fever  breathlessness  family_history  mucoid_sputum, fatigue cough high fever breathlessness family history mucoid sputum
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, cough  high_fever  breathlessness  family_history  mucoid_sputum, cough high fever breathlessness family history mucoid sputum
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue  high_fever  breathlessness  family_history  mucoid_sputum, fatigue high fever breathlessness family history mucoid sputum
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue  cough  breathlessness  family_history  mucoid_sputum, fatigue cough breathlessness family history mucoid sputum
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue  cough  high_fever  family_history  mucoid_sputum, fatigue cough high fever family history mucoid sputum
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,, fatigue  cough  high_fever  breathlessness  mucoid_sputum, fatigue cough high fever breathlessness mucoid sputum
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,, fatigue  cough  high_fever  breathlessness  family_history, fatigue cough high fever breathlessness family history
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,, fatigue  cough  high_fever  breathlessness  family_history  mucoid_sputum, fatigue cough high fever breathlessness family history mucoid sputum
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, cough  high_fever  breathlessness  family_history  mucoid_sputum, cough high fever breathlessness family history mucoid sputum
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,, fatigue  high_fever  breathlessness  family_history  mucoid_sputum, fatigue high fever breathlessness family history mucoid sputum
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,, headache  chest_pain  dizziness  loss_of_balance  lack_of_concentration, headache chest pain dizziness loss of balance lack of concentration
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, chest_pain  dizziness  loss_of_balance  lack_of_concentration, chest pain dizziness loss of balance lack of concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, headache  dizziness  loss_of_balance  lack_of_concentration, headache dizziness loss of balance lack of concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, headache  chest_pain  loss_of_balance  lack_of_concentration, headache chest pain loss of balance lack of concentration
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,, headache  chest_pain  dizziness  lack_of_concentration, headache chest pain dizziness lack of concentration
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, headache  chest_pain  dizziness  loss_of_balance, headache chest pain dizziness loss of balance
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,, headache  chest_pain  dizziness  loss_of_balance  lack_of_concentration, headache chest pain dizziness loss of balance lack of concentration
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, chest_pain  dizziness  loss_of_balance  lack_of_concentration, chest pain dizziness loss of balance lack of concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, headache  dizziness  loss_of_balance  lack_of_concentration, headache dizziness loss of balance lack of concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,, headache  chest_pain  loss_of_balance  lack_of_concentration, headache chest pain loss of balance lack of concentration
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,, acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances, acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,, indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances, indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,, acidity  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances, acidity headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,, acidity  indigestion  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances, acidity indigestion blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,, acidity  indigestion  headache  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances, acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,, acidity  indigestion  headache  blurred_and_distorted_vision  stiff_neck  depression  irritability  visual_disturbances, acidity indigestion headache blurred and distorted vision stiff neck depression irritability visual disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,, acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  depression  irritability  visual_disturbances, acidity indigestion headache blurred and distorted vision excessive hunger depression irritability visual disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,, acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  irritability  visual_disturbances, acidity indigestion headache blurred and distorted vision excessive hunger stiff neck irritability visual disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,, acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  visual_disturbances, acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression visual disturbances
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,, acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability, acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,, back_pain  weakness_in_limbs  neck_pain  dizziness  loss_of_balance, back pain weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,, back_pain  weakness_in_limbs  neck_pain  dizziness  loss_of_balance, back pain weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, weakness_in_limbs  neck_pain  dizziness  loss_of_balance, weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, back_pain  neck_pain  dizziness  loss_of_balance, back pain neck pain dizziness loss of balance
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,, back_pain  weakness_in_limbs  dizziness  loss_of_balance, back pain weakness in limbs dizziness loss of balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,, back_pain  weakness_in_limbs  neck_pain  loss_of_balance, back pain weakness in limbs neck pain loss of balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,, back_pain  weakness_in_limbs  neck_pain  dizziness, back pain weakness in limbs neck pain dizziness
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,, back_pain  weakness_in_limbs  neck_pain  dizziness  loss_of_balance, back pain weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, weakness_in_limbs  neck_pain  dizziness  loss_of_balance, weakness in limbs neck pain dizziness loss of balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,, back_pain  neck_pain  dizziness  loss_of_balance, back pain neck pain dizziness loss of balance
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,, vomiting  headache  weakness_of_one_body_side  altered_sensorium, vomiting headache weakness of one body side altered sensorium
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,, vomiting  headache  weakness_of_one_body_side  altered_sensorium, vomiting headache weakness of one body side altered sensorium
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,, headache  weakness_of_one_body_side  altered_sensorium, headache weakness of one body side altered sensorium
