Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Áp xe phế quản,đau ngực,ho,thở khò khè,sốt,ho có đờm,khó thở,,
U lành tính lách,buồn nôn,vàng da,mệt mỏi,,,,,
Viêm bờ mi,mắt đỏ,đau mắt,cộm mắt,sốt,mờ mắt,chảy nước mắt,,
Sỏi bể thận,đau lưng,tiểu nhiều lần,đau quặn thận,,,,,
U lành tính đường mật,mệt mỏi,buồn nôn,vàng da,đau hạ sườn phải,,,,
Viêm vòm họng cấp,đau tai,đau họng,đau dữ dội,ho,sốt,nghẹt mũi,,
Thoái hóa khớp gối,cứng khớp,hạn chế vận động,,,,,,
Hẹp cơ tim,mệt mỏi,đau ngực,phù chân,khó thở,,,,
U lành tính tuyến tiền liệt,đau bụng dưới,rối loạn kinh nguyệt,đau khi quan hệ,,,,,
U lành tính mống mắt,đau mắt,chảy nước mắt,cộm mắt,,,,,
Ung thư phổi,ho có đờm,sụt cân,đau ngực,ho,thở khò khè,,,
Viêm tuyến tiền liệt mạn,kéo dài,đau bụng dưới,rối loạn kinh nguyệt,ra khí hư,,,,
Động kinh,đau đầu,co giật,nói khó,mất ý thức,,,,
Viêm nang lông mạn,phát ban,da đỏ,mụn nước,kéo dài,ngứa,mệt mỏi,,
Viêm thận,đau lưng,sốt,tiểu rắt,tiểu nhiều lần,tiểu buốt,,,
Áp xe phế quản,sốt,sưng,ho có đờm,thở khò khè,khó thở,ho,đau,
Ung thư họng,sụt cân,khàn tiếng,đau họng,ho,đau tai,mệt mỏi,,
Viêm màng phổi,ho có đờm,ho,đau ngực,khó thở,thở khò khè,,,
Viêm bàng quang mạn,đau lưng,tiểu buốt,tiểu ra máu,,,,,
Viêm tuyến tiền liệt,rối loạn kinh nguyệt,đau khi quan hệ,đau thượng vị,sốt,đau bụng dưới,,,
Nhiễm trùng manh tràng,đau bụng,ớn lạnh,sốt,tiêu chảy,,,,
Lao khớp gối,hạn chế vận động,đau khớp,đau xương,sưng khớp,sốt nhẹ,,,
U lành tính âm đạo,đau khi quan hệ,đau bụng dưới,rối loạn kinh nguyệt,,,,,
Trầm cảm,mất ngủ,khó tập trung,chán ăn,mệt mỏi,buồn bã kéo dài,,,
Ung thư lách,chán ăn,vàng da,sụt cân,đau hạ sườn phải,,,,
Viêm túi mật,đau hạ sườn phải,mệt mỏi,vàng da,chán ăn,,,,
Rối loạn lo âu,hồi hộp,lo lắng quá mức,khó thở,,,,,
Viêm tá tràng cấp,đau dữ dội,sốt,buồn nôn,ợ chua,đầy hơi,chán ăn,,
U lành tính túi mật,buồn nôn,đau hạ sườn phải,vàng da,,,,,
Sốt rét,sốt cao,đổ mồ hôi,buồn nôn,ớn lạnh,,,,
Lao cột sống,sụt cân,sốt nhẹ,hạn chế vận động,sưng khớp,đau khớp,đổ mồ hôi đêm,,
Viêm tai ngoài,khàn tiếng,đau tai,đau họng,,,,,
Nhiễm trùng tinh hoàn,ra khí hư,đau bụng dưới,sốt,đau khi quan hệ,,,,
Viêm manh tràng cấp,táo bón,đau dữ dội,đầy hơi,,,,,
Viêm phế quản,mệt mỏi,đau ngực,khó thở,ho có đờm,sốt nhẹ,,,
Hẹp van tim,mệt mỏi,hồi hộp,phù chân,,,,,
Phình màng ngoài tim,phù chân,mệt mỏi,khó thở,hồi hộp,,,,
Cảm cúm,ớn lạnh,đau họng,đau đầu,mệt mỏi,sốt cao,,,
Viêm trực tràng,tiêu chảy,sốt,đầy hơi,đau bụng,táo bón,,,
Viêm phổi,khó thở,ho có đờm,sốt cao,,,,,
Ung thư tuyến tiền liệt,ra khí hư,đau bụng dưới,sụt cân,đau khi quan hệ,,,,
Hẹp van tim,phù chân,khó thở,mệt mỏi,,,,,
Ung thư âm đạo,sụt cân,đau bụng dưới,ra khí hư,đau khi quan hệ,rối loạn kinh nguyệt,,,
Ung thư vòm họng,sụt cân,chán ăn,đau họng,khàn tiếng,nghẹt mũi,mệt mỏi,đau tai,ho
Viêm van tim mạn,mệt mỏi,kéo dài,đau ngực,,,,,
Viêm bàng quang,tiểu buốt,tiểu rắt,tiểu nhiều lần,đau bụng dưới,nước tiểu đục,,,
Ung thư tâm vị,chán ăn,đau thượng vị,buồn nôn,đầy hơi,sụt cân,,,
Phình nội tâm mạc,mệt mỏi,khó thở,hồi hộp,thở khò khè,,,,
Viêm lách cấp,buồn nôn,chán ăn,vàng da,mệt mỏi,sốt,đau hạ sườn phải,,
Viêm tai giữa,chảy mủ tai,ù tai,đau tai,sốt,,,,
Áp xe màng phổi,thở khò khè,ho,sốt,khó thở,ho có đờm,,,
U lành tính lách,mệt mỏi,vàng da,đau hạ sườn phải,,,,,
Polyp tá tràng,ợ chua,chán ăn,buồn nôn,đau thượng vị,đầy hơi,,,
Hẹp động mạch chủ,đau ngực,khó thở,mệt mỏi,phù chân,,,,
Viêm hậu môn mạn,đau bụng,đi ngoài ra máu,sốt,đầy hơi,,,,
Thủy đậu,chán ăn,mụn nước,ngứa,phát ban,,,,
Viêm tâm vị,sốt,ợ chua,đầy hơi,chán ăn,đau thượng vị,,,
Hẹp màng ngoài tim,hồi hộp,mệt mỏi,khó thở,đau ngực,phù chân,,,
Hẹp nội tâm mạc,đau ngực,khó thở,mệt mỏi,,,,,
Viêm lách mạn,buồn nôn,sốt,vàng da,,,,,
Ung thư phổi,sụt cân,ho,mệt mỏi,đau ngực,khó thở,thở khò khè,,
U lành tính mống mắt,chảy nước mắt,cộm mắt,mờ mắt,mắt đỏ,,,,
Viêm tá tràng mạn,buồn nôn,kéo dài,mệt mỏi,đau thượng vị,đầy hơi,chán ăn,sốt,
Viêm dây thanh mạn,khàn tiếng,nghẹt mũi,,,,,,
Viêm dạ dày,đau thượng vị,ợ chua,,,,,,
U lành tính vòi trứng,ra khí hư,rối loạn kinh nguyệt,,,,,,
Áp xe khí quản,ho có đờm,sốt,sưng,khó thở,,,,
Viêm bờ mi cấp,đau dữ dội,sốt,đau mắt,cộm mắt,chảy nước mắt,mắt đỏ,,
Ung thư âm đạo,mệt mỏi,đau bụng dưới,sụt cân,đau khi quan hệ,,,,
Viêm ruột non cấp,đau bụng,đau dữ dội,tiêu chảy,táo bón,,,,
Nhiễm trùng thận,ớn lạnh,đau lưng,tiểu rắt,tiểu nhiều lần,tiểu buốt,,,
Viêm màng não,buồn nôn,đau đầu dữ dội,sốt cao,cứng cổ,,,,
Viêm hồi tràng cấp,đau dữ dội,tiêu chảy,đi ngoài ra máu,táo bón,,,,
U lành tính tai ngoài,ho,khàn tiếng,đau họng,,,,,
Viêm lách mạn,kéo dài,mệt mỏi,sốt,đau hạ sườn phải,,,,
Ung thư dây thần kinh,chán ăn,co giật,chóng mặt,sụt cân,đau đầu,,,
Viêm động mạch chủ cấp,đau ngực,phù chân,khó thở,,,,,
Viêm mống mắt cấp,sốt,chảy nước mắt,mờ mắt,đau mắt,cộm mắt,,,
Áp xe tiểu phế quản,sốt,đau ngực,ho,đau,thở khò khè,khó thở,,
Thiếu máu,chóng mặt,mệt mỏi,khó thở,hồi hộp,đau đầu,,,
Nhiễm trùng móng,da đỏ,phát ban,mụn nước,ngứa,bong tróc da,,,
Zona thần kinh,mụn nước,đau rát da,ngứa,phát ban,,,,
Viêm bàng quang cấp,đau lưng,đau dữ dội,tiểu nhiều lần,tiểu rắt,tiểu buốt,,,
Polyp tá tràng,ợ chua,đầy hơi,buồn nôn,,,,,
Lao sụn khớp,sụt cân,sưng khớp,đau xương,hạn chế vận động,,,,
Viêm tá tràng,buồn nôn,chán ăn,,,,,,
Ung thư amidan,sụt cân,khàn tiếng,đau tai,chán ăn,ho,nghẹt mũi,mệt mỏi,
Viêm khớp háng,sưng khớp,sốt,đau xương,cứng khớp,,,,
Ung thư dây thanh,mệt mỏi,đau họng,sụt cân,ho,nghẹt mũi,đau tai,,
Viêm cổ tử cung,rối loạn kinh nguyệt,ra khí hư,đau bụng dưới,đau khi quan hệ,,,,
Viêm ruột thừa mạn,mệt mỏi,tiêu chảy,đau bụng,táo bón,đi ngoài ra máu,,,
U lành tính màng não,tê tay chân,yếu liệt tay chân,chóng mặt,co giật,,,,
U lành tính đường mật,mệt mỏi,đau hạ sườn phải,buồn nôn,,,,,
COVID-19,đau nhức cơ,đau họng,mất khứu giác,ho khan,sốt,loét miệng,khó thở,mệt mỏi
U lành tính vòi trứng,rối loạn kinh nguyệt,ra khí hư,đau khi quan hệ,,,,,
Viêm tử cung cấp,sốt,đau bụng dưới,rối loạn kinh nguyệt,,,,,
Viêm cột sống cổ cấp,đau dữ dội,cứng khớp,sưng khớp,hạn chế vận động,sốt,,,
Sỏi bể thận,tiểu ra máu,tiểu rắt,tiểu buốt,tiểu nhiều lần,đau lưng,,,
Viêm tuyến tiền liệt mạn,ra khí hư,rối loạn kinh nguyệt,đau bụng dưới,kéo dài,đau khi quan hệ,,,
Viêm khớp gối,sưng khớp,hạn chế vận động,đau khớp,cứng khớp,,,,
Viêm kết mạc cấp,mờ mắt,cộm mắt,mắt đỏ,chảy nước mắt,,,,
Viêm khớp háng,sốt,sưng khớp,đau xương,,,,,
Viêm họng cấp,sốt,nghẹt mũi,ho,đau dữ dội,,,,
Viêm trung thất cấp,ho có đờm,khó thở,đau dữ dội,thở khò khè,đau ngực,,,
Lao gân gót,đổ mồ hôi đêm,đau khớp,hạn chế vận động,sụt cân,sưng khớp,,,
Viêm gân gót mạn,sốt,hạn chế vận động,kéo dài,đau khớp,,,,
Viêm vòi trứng mạn,mệt mỏi,đau bụng dưới,rối loạn kinh nguyệt,kéo dài,đau khi quan hệ,sốt,ra khí hư,
Nhiễm trùng manh tràng,ớn lạnh,táo bón,đầy hơi,đi ngoài ra máu,đau bụng,tiêu chảy,,
Rối loạn lo âu,khó thở,mất ngủ,lo lắng quá mức,hồi hộp,chóng mặt,,,
Viêm ruột non,sốt,táo bón,đi ngoài ra máu,đau bụng,,,,
Ung thư trực tràng,sụt cân,chán ăn,tiêu chảy,đầy hơi,táo bón,mệt mỏi,,
Viêm phổi,ho có đờm,ớn lạnh,khó thở,sốt cao,,,,
Ung thư tâm vị,đau thượng vị,chán ăn,buồn nôn,đầy hơi,sụt cân,ợ chua,,
Viêm gân gót,đau khớp,sưng khớp,sốt,đau xương,,,,
U lành tính đường mật,vàng da,đau hạ sườn phải,,,,,,
Nhiễm trùng cổ tử cung,đau khi quan hệ,rối loạn kinh nguyệt,ớn lạnh,ra khí hư,,,,
Ung thư khí quản,ho,sụt cân,thở khò khè,mệt mỏi,ho có đờm,đau ngực,,
Nhiễm trùng móng,phát ban,mụn nước,ngứa,da đỏ,,,,
Polyp tâm vị,đau thượng vị,đầy hơi,ợ chua,chán ăn,đi ngoài ra máu,buồn nôn,,
Ung thư tinh hoàn,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,ra khí hư,mệt mỏi,sụt cân,,
Ung thư tuyến tiền liệt,sụt cân,rối loạn kinh nguyệt,đau khi quan hệ,ra khí hư,đau bụng dưới,mệt mỏi,,
Viêm manh tràng,sốt,đầy hơi,đi ngoài ra máu,,,,,
Viêm tiểu phế quản cấp,khó thở,sốt,đau dữ dội,hồi hộp,thở khò khè,ho,ho có đờm,
Viêm thực quản,sốt,ợ chua,đầy hơi,đau thượng vị,,,,
Trĩ,đau hậu môn,đi ngoài ra máu,sa búi trĩ,,,,,
Ung thư thực quản,sụt cân,đầy hơi,buồn nôn,ợ chua,đau thượng vị,,,
Viêm lách,vàng da,đau hạ sườn phải,sốt,,,,,
Thiếu máu,da xanh xao,hồi hộp,mệt mỏi,chóng mặt,đau đầu,,,
Đột quỵ,méo miệng,yếu liệt tay chân,chóng mặt,đau đầu dữ dội,mờ mắt,mất nước,nói khó,
Ung thư tá tràng,buồn nôn,sụt cân,ợ chua,đầy hơi,đau thượng vị,,,
Viêm hồi tràng cấp,đầy hơi,đau dữ dội,sốt,đi ngoài ra máu,táo bón,tiêu chảy,,
Viêm khớp gối mạn,cứng khớp,đau khớp,đau xương,sốt,hạn chế vận động,,,
Nhiễm trùng trực tràng,tiêu chảy,đầy hơi,ớn lạnh,đau bụng,táo bón,,,
U lành tính gan,chán ăn,đau hạ sườn phải,buồn nôn,vàng da,,,,
Lao khớp vai,sụt cân,hạn chế vận động,cứng khớp,đau khớp,sưng khớp,,,
U lành tính đường mật,buồn nôn,mệt mỏi,,,,,,
Viêm cột sống cổ cấp,sưng khớp,run tay,đau xương,đau dữ dội,hạn chế vận động,,,
Sỏi niệu đạo,tiểu ra máu,tiểu rắt,đau lưng,tiểu buốt,,,,
Viêm amidan mạn,đau tai,sốt,nghẹt mũi,mệt mỏi,kéo dài,khàn tiếng,,
Ung thư nang lông,chán ăn,bong tróc da,da đỏ,sụt cân,,,,
Viêm tai giữa cấp,nghẹt mũi,đau tai,khàn tiếng,đau họng,ho,,,
Viêm tuyến bã mạn,mệt mỏi,da đỏ,bong tróc da,phát ban,mụn nước,,,
Viêm tá tràng mạn,đầy hơi,đau thượng vị,ợ chua,chán ăn,,,,
Suy tim,khó thở,phù chân,ho,mệt mỏi,,,,
Ung thư lách,đau hạ sườn phải,sụt cân,vàng da,mệt mỏi,chán ăn,,,
U lành tính tai ngoài,nghẹt mũi,đau họng,khàn tiếng,,,,,
Phình màng ngoài tim,phù chân,khó thở,mệt mỏi,đau ngực,,,,
Viêm lách cấp,đau hạ sườn phải,sốt,vàng da,mệt mỏi,,,,
Viêm khớp háng,hạn chế vận động,cứng khớp,đau xương,đau khớp,sưng khớp,sốt,,
Ung thư gan,mệt mỏi,vàng da,sụt cân,đau hạ sườn phải,buồn nôn,,,
Ngộ độc thực phẩm,tiêu chảy,buồn nôn,sốt,nôn,đau bụng,,,
Viêm dây thanh,đau họng,ho,nghẹt mũi,đau tai,,,,
Viêm màng phổi,thở khò khè,khó thở,đau ngực,,,,,
Viêm tai ngoài cấp,nghẹt mũi,đau dữ dội,đau tai,đau họng,ho,,,
Viêm đại tràng cấp,đi ngoài ra máu,táo bón,đau dữ dội,sốt,tiêu chảy,,,
Viêm âm đạo cấp,ra khí hư,đau bụng dưới,rối loạn kinh nguyệt,đau dữ dội,đau khi quan hệ,,,
Viêm nang lông,bong tróc da,ngứa,mụn nước,đau tai,,,,
Viêm ruột non mạn,đau bụng,táo bón,kéo dài,đi ngoài ra máu,đầy hơi,,,
Viêm cơ tim mạn,sốt,phù chân,hồi hộp,,,,,
Nhiễm trùng trực tràng,đi ngoài ra máu,đầy hơi,táo bón,,,,,
Viêm tuyến bã cấp,da đỏ,mụn nước,phát ban,sốt,bong tróc da,ngứa,,
Viêm mào tinh hoàn mạn,ra khí hư,đau bụng dưới,rối loạn kinh nguyệt,mệt mỏi,,,,
Thoái hóa bao hoạt dịch,đau khớp,hạn chế vận động,đau sau hốc mắt,đau xương,cứng khớp,,,
Viêm đường mật mạn,đau hạ sườn phải,vàng da,buồn nôn,,,,,
Viêm tâm vị mạn,kéo dài,đầy hơi,ợ chua,mệt mỏi,,,,
Polyp dạ dày,đau thượng vị,buồn nôn,chán ăn,,,,,
Viêm cổ tử cung mạn,đau khi quan hệ,mệt mỏi,ra khí hư,đau bụng dưới,rối loạn kinh nguyệt,,,
Ung thư gan,đau hạ sườn phải,vàng da,nghẹt mũi,mệt mỏi,sụt cân,,,
U lành tính đường mật,chán ăn,mệt mỏi,buồn nôn,đau hạ sườn phải,,,,
Viêm khí quản mạn,kéo dài,khó thở,mệt mỏi,sốt,ho,,,
Lao sụn khớp,cứng khớp,hạn chế vận động,đau khớp,sụt cân,sưng khớp,đau xương,,
Viêm dây thần kinh,yếu liệt tay chân,co giật,tê tay chân,đau đầu,,,,
Hẹp cơ tim,mệt mỏi,hồi hộp,khó thở,phù chân,nôn ra máu,,,
Viêm động mạch chủ mạn,hồi hộp,phù chân,mệt mỏi,khó thở,đau ngực,,,
Đột quỵ,chóng mặt,yếu liệt tay chân,méo miệng,mờ mắt,đau đầu dữ dội,nói khó,,
U lành tính đường mật,đau hạ sườn phải,chán ăn,vàng da,buồn nôn,,,,
U lành tính tuyến bã,ngứa,phát ban,mụn nước,da đỏ,,,,
Viêm tiểu phế quản,sốt,khó thở,ho,ho có đờm,thở khò khè,,,
Viêm trung thất,ho,khó thở,đau ngực,thở khò khè,,,,
Áp xe túi mật,buồn nôn,đau hạ sườn phải,sốt,sưng,,,,
Lao khớp gối,cứng khớp,hạn chế vận động,đau xương,sưng khớp,sụt cân,,,
Ung thư tuyến tiền liệt,rối loạn kinh nguyệt,sụt cân,đau bụng dưới,ra khí hư,mệt mỏi,,,
Quai bị,sốt,đau khi nhai,sưng tuyến mang tai,đau hậu môn,mệt mỏi,,,
Viêm da cấp,bong tróc da,ngứa,phát ban,sốt,mụn nước,,,
Ung thư bàng quang,tiểu ra máu,tiểu nhiều lần,tiểu rắt,sụt cân,tiểu buốt,chán ăn,,
Viêm tử cung cấp,ra khí hư,đau khi quan hệ,đau bụng dưới,đau dữ dội,sốt,rối loạn kinh nguyệt,,
Dị ứng,phát ban,hắt hơi,ngứa,,,,,
Viêm tuyến lệ cấp,mờ mắt,cộm mắt,mắt đỏ,đau mắt,,,,
Ung thư phế quản,đau ngực,thở khò khè,chán ăn,ho có đờm,khó thở,ho,sụt cân,
Viêm khớp gối mạn,sưng khớp,sốt,cứng khớp,đau xương,đau khớp,kéo dài,mệt mỏi,
Polyp tá tràng,đầy hơi,buồn nôn,đau thượng vị,,,,,
COVID-19,mất khứu giác,mệt mỏi,sốt,ho khan,,,,
Nhiễm trùng hồi tràng,đau bụng,ớn lạnh,sốt,táo bón,đầy hơi,,,
U lành tính tuyến lệ,đau mắt,chảy nước mắt,mắt đỏ,mờ mắt,,,,
Viêm tiểu phế quản cấp,ho,đau ngực,thở khò khè,ho có đờm,khó thở,,,
Viêm xoang cấp,khàn tiếng,đau họng,nghẹt mũi,,,,,
Sốt xuất huyết,phát ban,đau khớp,sốt cao,đau sau hốc mắt,,,,
Viêm cột sống cổ,hạn chế vận động,cứng khớp,đau khớp,sốt,,,,
COVID-19,mất khứu giác,đau họng,sốt,khó thở,ho khan,mệt mỏi,,
Viêm tâm vị mạn,mệt mỏi,kéo dài,ợ chua,sốt,đầy hơi,,,
Viêm nang lông cấp,bong tróc da,mụn nước,da đỏ,phát ban,sốt,,,
Viêm thanh quản cấp,đau ngực,ho,khó thở,sốt,ho có đờm,đau dữ dội,,
Lao bao hoạt dịch,sụt cân,hạn chế vận động,đổ mồ hôi đêm,đau xương,,,,
Ung thư xoang,chán ăn,mệt mỏi,sụt cân,khàn tiếng,nghẹt mũi,,,
Ung thư móng,bong tróc da,ngứa,sụt cân,,,,,
Ung thư phế quản,ho có đờm,đau ngực,khó thở,sụt cân,mệt mỏi,,,
Viêm thận,đau lưng,tiểu rắt,sốt,,,,,
Viêm bàng quang cấp,tiểu ra máu,tiểu rắt,tiểu buốt,đau lưng,tiểu nhiều lần,,,
Viêm gan cấp,vàng da,đau dữ dội,mệt mỏi,sốt,buồn nôn,chán ăn,,
Viêm thanh quản mạn,thở khò khè,ho có đờm,kéo dài,khó thở,ho,,,
Viêm mào tinh hoàn mạn,rối loạn kinh nguyệt,sốt,kéo dài,,,,,
Nhiễm trùng bàng quang,đau lưng,sốt,,,,,,
Viêm thanh quản,thở khò khè,ho,khó thở,ho có đờm,,,,
Viêm tâm vị cấp,đầy hơi,đau thượng vị,buồn nôn,ợ chua,,,,
Viêm động mạch chủ,phù chân,mệt mỏi,đau ngực,hồi hộp,,,,
Viêm khớp vai cấp,cứng khớp,đau khớp,hạn chế vận động,sưng khớp,đau xương,,,
Gout,nóng khớp,đau khớp,đỏ khớp,,,,,
Viêm móng,mụn nước,ngứa,da đỏ,,,,,
U lành tính bờ mi,mờ mắt,mắt đỏ,đau mắt,chảy nước mắt,,,,
Lao cột sống cổ,đổ mồ hôi đêm,sốt nhẹ,đau khớp,đau xương,hạn chế vận động,,,
Loét thực quản,đau thượng vị,chán ăn,,,,,,
U lành tính dây thanh,đau tai,đau họng,ho,,,,,
Ung thư da,mụn nước,ngứa,chán ăn,mệt mỏi,phát ban,sụt cân,,
Lao cột sống cổ,đau khớp,sụt cân,đau xương,đổ mồ hôi đêm,hạn chế vận động,,,
Viêm gan cấp,sốt,mệt mỏi,chán ăn,vàng da,buồn nôn,đau hạ sườn phải,đau dữ dội,
Polyp ruột non,đầy hơi,táo bón,tiêu chảy,đi ngoài ra máu,,,,
Nhiễm trùng niệu quản,tiểu nhiều lần,tiểu rắt,tiểu ra máu,ớn lạnh,,,,
Viêm phổi cấp,thở khò khè,đau dữ dội,sốt,ho có đờm,,,,
Viêm niệu quản,tiểu rắt,tiểu buốt,,,,,,
Viêm kết mạc cấp,mắt đỏ,cộm mắt,mờ mắt,chảy nước mắt,sốt,,,
Ung thư tai giữa,khàn tiếng,cộm mắt,sụt cân,nghẹt mũi,đau tai,,,
Viêm tinh hoàn cấp,sốt,rối loạn kinh nguyệt,đau bụng dưới,đau dữ dội,,,,
Viêm tụy mạn,vàng da,chán ăn,đau hạ sườn phải,buồn nôn,,,,
Mề đay,nổi mẩn,ngứa,phát ban,,,,,
Viêm khí quản mạn,ho,kéo dài,khó thở,ho có đờm,đau ngực,,,
Tăng huyết áp,chóng mặt,đau đầu,hồi hộp,mờ mắt,ù tai,,,
U lành tính tai giữa,đau họng,khàn tiếng,đau tai,,,,,
U lành tính tinh hoàn,ra khí hư,đau bụng dưới,đau khi quan hệ,,,,,
Viêm bể thận cấp,đau lưng,tiểu rắt,sốt,đau dữ dội,tiểu buốt,tiểu nhiều lần,,
Thoái hóa cột sống cổ,đau khớp,hạn chế vận động,đau xương,sưng khớp,,,,
Viêm sụn khớp mạn,đau xương,kéo dài,hạn chế vận động,đau khớp,,,,
U lành tính võng mạc,đau mắt,chảy nước mắt,cộm mắt,,,,,
Ung thư trực tràng,táo bón,sụt cân,đau bụng,chán ăn,đầy hơi,đi ngoài ra máu,mệt mỏi,
Viêm cột sống mạn,sốt,đau xương,cứng khớp,kéo dài,,,,
Thoái hóa khớp háng,sưng khớp,hạn chế vận động,đau xương,,,,,
Lao khớp gối,cứng khớp,đau xương,đau khớp,sụt cân,hạn chế vận động,sưng khớp,sốt nhẹ,
Áp xe tiểu phế quản,sốt,ho,đau ngực,đau,khó thở,,,
Viêm buồng trứng,sốt,đau khi quan hệ,rối loạn kinh nguyệt,,,,,
Sỏi niệu quản,tiểu nhiều lần,tiểu rắt,tiểu ra máu,,,,,
Viêm dạ dày mạn,co giật,kéo dài,chán ăn,ợ chua,,,,
Lao phổi,ho kéo dài,sụt cân,mệt mỏi,ho ra máu,sốt nhẹ,,,
Viêm dây thanh cấp,nghẹt mũi,ho,đau tai,khàn tiếng,,,,
Nhiễm trùng tuyến tiền liệt,rối loạn kinh nguyệt,đau khi quan hệ,đau bụng dưới,ra khí hư,,,,
U lành tính mống mắt,chảy nước mắt,mờ mắt,cộm mắt,,,,,
Viêm ruột thừa mạn,tiểu rắt,đầy hơi,tiêu chảy,đau bụng,táo bón,,,
Áp xe trung thất,thở khò khè,khó thở,sưng,ho có đờm,ho,đau ngực,,
Thoái hóa khớp vai,đau khớp,sưng khớp,hạn chế vận động,,,,,
Zona thần kinh,mụn nước,đau rát da,,,,,,
Polyp ruột thừa,tiêu chảy,đầy hơi,đau bụng,,,,,
Ung thư ruột thừa,tiêu chảy,sụt cân,đau bụng,táo bón,,,,
Nhiễm trùng niệu đạo,tiểu rắt,sốt,tiểu buốt,tiểu nhiều lần,,,,
U lành tính tai giữa,khàn tiếng,nghẹt mũi,ho,đau họng,,,,
Viêm túi mật,chán ăn,sốt,vàng da,đau hạ sườn phải,,,,
Viêm hồi tràng mạn,kéo dài,sốt,táo bón,đau bụng,tiêu chảy,chậm chạp,,
Viêm amidan mạn,nghẹt mũi,khàn tiếng,đau tai,mệt mỏi,,,,
Ung thư bể thận,tiểu nhiều lần,mệt mỏi,tiểu rắt,đau lưng,sụt cân,,,
Viêm màng ngoài tim mạn,mệt mỏi,hồi hộp,sưng khớp,phù chân,sốt,khó thở,,
Viêm khí quản cấp,đau dữ dội,thở khò khè,khó thở,,,,,
U lành tính tinh hoàn,đau khi quan hệ,đau bụng dưới,,,,,,
Ung thư manh tràng,mệt mỏi,đầy hơi,đau bụng,sụt cân,đi ngoài ra máu,tiêu chảy,,
Cường giáp,hồi hộp,mất ngủ,lồi mắt,run tay,sụt cân,,,
Viêm vòi trứng cấp,rối loạn kinh nguyệt,sốt,đau dữ dội,đau khi quan hệ,ra khí hư,đau bụng dưới,,
Viêm mào tinh hoàn cấp,đau khi quan hệ,rối loạn kinh nguyệt,đau bụng dưới,ra khí hư,,,,
Viêm khớp háng mạn,sưng khớp,cứng khớp,kéo dài,hạn chế vận động,đau xương,sốt,,
Thoái hóa cột sống cổ,hạn chế vận động,sưng khớp,đau khớp,đau xương,,,,
Viêm da mạn,sốt,mệt mỏi,mụn nước,bong tróc da,da đỏ,phát ban,ngứa,
Thoái hóa sụn khớp,sưng khớp,hạn chế vận động,đau xương,cứng khớp,,,,
Viêm lách cấp,chán ăn,đau hạ sườn phải,buồn nôn,đau dữ dội,mệt mỏi,vàng da,,
Polyp hậu môn,táo bón,đầy hơi,đau bụng,tiêu chảy,đi ngoài ra máu,,,
Ngộ độc thực phẩm,nôn,buồn nôn,tiêu chảy,,,,,
U lành tính bờ mi,mắt đỏ,chảy nước mắt,mờ mắt,cộm mắt,,,,
Nhiễm trùng da,ớn lạnh,ngứa,mụn nước,bong tróc da,da đỏ,,,
Loét dạ dày,đau,chán ăn,ợ chua,đau thượng vị,buồn nôn,,,
Viêm thận,đau lưng,tiểu buốt,sốt,tiểu nhiều lần,tiểu rắt,,,
Nhiễm trùng bể thận,tiểu rắt,tiểu buốt,đau lưng,tiểu nhiều lần,tiểu ra máu,,,
Viêm túi mật mạn,mệt mỏi,vàng da,chán ăn,sốt,,,,
Viêm tá tràng cấp,chán ăn,buồn nôn,ợ chua,,,,,
Viêm móng cấp,sốt,ngứa,da đỏ,bong tróc da,,,,
Viêm phổi cấp,thở khò khè,ho có đờm,đau mắt,sốt,,,,
Viêm cổ tử cung mạn,đau bụng dưới,ra khí hư,đau khi quan hệ,,,,,
Viêm dạ dày mạn,ợ chua,chán ăn,đau thượng vị,,,,,
Viêm cột sống cấp,sốt,hạn chế vận động,bầm tím,đau khớp,cứng khớp,,,
Ung thư manh tràng,chán ăn,đầy hơi,tiêu chảy,đi ngoài ra máu,sụt cân,,,
Viêm niệu quản mạn,tiểu buốt,tiểu nhiều lần,tiểu rắt,tiểu ra máu,đau lưng,,,
Cường giáp,hồi hộp,lồi mắt,run tay,sụt cân,,,,
Suy giáp,da khô,tăng cân,sợ lạnh,táo bón,rụng tóc,mệt mỏi,,
Viêm bể thận mạn,kéo dài,tiểu buốt,tiểu nhiều lần,sốt,,,,
Viêm bờ mi mạn,cộm mắt,mệt mỏi,đau mắt,kéo dài,sốt,mắt đỏ,mờ mắt,
Hẹp màng ngoài tim,hồi hộp,mệt mỏi,đau ngực,phù chân,,,,
Ung thư dây thần kinh,đau đầu,sụt cân,co giật,chóng mặt,chán ăn,mệt mỏi,yếu liệt tay chân,tê tay chân
Lao phổi,sụt cân,mệt mỏi,ho kéo dài,,,,,
Ung thư bàng quang,tiểu buốt,sụt cân,tiểu rắt,đau lưng,,,,
Viêm tâm vị,ợ chua,sốt,đầy hơi,chán ăn,,,,
Viêm nội tâm mạc,mệt mỏi,phù chân,khó thở,,,,,
Nhiễm trùng trực tràng,đầy hơi,đi ngoài ra máu,ớn lạnh,táo bón,sốt,,,
Nhiễm trùng ruột non,tiêu chảy,đau bụng,táo bón,đầy hơi,ớn lạnh,,,
