Benh,TrieuChung_1,TrieuChung_2,TrieuChung_3,TrieuChung_4,TrieuChung_5,TrieuChung_6,TrieuChung_7,TrieuChung_8
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,nôn,,,,,
Tiêu chảy cấp,đau bụng,mất nước,buồn nôn,,,,,
Sốt rét,sốt cao,ớn lạnh,đổ mồ hôi,buồn nôn,,,,
Sốt rét,nhạy cảm ánh sáng,ớn lạnh,sốt cao,đổ mồ hôi,,,,
Sốt rét,đổ mồ hôi,đau đầu,sốt cao,ớn lạnh,mệt mỏi,,,
Viêm họng,đau họng,sốt,ho,sưng hạch,khó nuốt,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,buồn nôn,phát ban,,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Viêm họng,ho,khó nuốt,đau họng,sốt,sưng hạch,,,
Viêm xoang,nghẹt mũi,đau đầu,,,,,,
Viêm dạ dày,ợ chua,buồn nôn,chán ăn,đau bụng,nôn,,,
Viêm dạ dày,đầy hơi,nôn,chán ăn,ợ chua,đau bụng,buồn nôn,,
Viêm xoang,đau mặt,nghẹt mũi,sổ mũi,,,,,
Sốt xuất huyết,chảy máu cam,phát ban,đau sau hốc mắt,đau khớp,,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,,,,,
Sốt rét,đổ mồ hôi,sốt cao,ớn lạnh,buồn nôn,sưng hạch,,,
Viêm phế quản,khó thở,ho có đờm,sốt nhẹ,,,,,
Dị ứng,phát ban,ngứa,hắt hơi,nghẹt mũi,,,,
Viêm họng,khó nuốt,đau họng,sưng hạch,ho,sốt,,,
Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,,,,,
Cảm cúm,sốt cao,mệt mỏi,đau nhức cơ,,,,,
Cảm cúm,đau đầu,đau họng,ớn lạnh,sốt cao,ho,đau nhức cơ,mệt mỏi,
Cảm lạnh,hắt hơi,sổ mũi,mệt mỏi,đau họng,nghẹt mũi,,,
Viêm họng,đau họng,khó nuốt,sốt,,,,,
Hen suyễn,khó thở,thở khò khè,ho,,,,,
Viêm xoang,sổ mũi,giảm khứu giác,nghẹt mũi,đau mặt,,,,
Thủy đậu,thở khò khè,phát ban,mệt mỏi,chán ăn,ngứa,,,
Viêm phế quản,khó thở,mệt mỏi,ho có đờm,sốt nhẹ,,,,
Tiêu chảy cấp,sốt,tiêu chảy,nôn,đau bụng,mất nước,,,
Thủy đậu,ngứa,phát ban,,,,,,
Cảm lạnh,hắt hơi,sổ mũi,nghẹt mũi,mệt mỏi,,,,
Viêm phổi,sốt cao,đau ngực,ho có đờm,khó thở,,,,
Cảm cúm,ớn lạnh,đau đầu,đau nhức cơ,sốt cao,mệt mỏi,,,
Sốt rét,mệt mỏi,sốt cao,đổ mồ hôi,ớn lạnh,buồn nôn,,,
Hen suyễn,đau ngực,khó thở,thở khò khè,,,,,
Viêm phổi,đau ngực,sốt cao,ho có đờm,khó thở,mệt mỏi,,,
Dị ứng,nghẹt mũi,ngứa,phát ban,hắt hơi,,,,
Cảm cúm,sốt cao,đau nhức cơ,ớn lạnh,,,,,
Viêm phổi,ho có đờm,khó thở,ớn lạnh,,,,,
Cảm lạnh,ho,hắt hơi,sổ mũi,mệt mỏi,,,,
Viêm phế quản,ho có đờm,khó thở,sốt nhẹ,,,,,
Viêm phế quản,ho có đờm,khó thở,mệt mỏi,đau ngực,,,,
Sốt xuất huyết,ho,phát ban,đau đầu,sốt cao,đau sau hốc mắt,,,
Viêm phổi,khó thở,đau ngực,sốt cao,mệt mỏi,ho có đờm,,,
Viêm họng,khó nuốt,đau ngực,sưng hạch,đau họng,ho,,,
Viêm phổi,mệt mỏi,khó thở,đau ngực,ho có đờm,ớn lạnh,sốt cao,,
Viêm xoang,đau mặt,nghẹt mũi,,,,,,
Thủy đậu,ngứa,phát ban,sốt,chán ăn,,,,
Viêm phế quản,đau ngực,sốt nhẹ,ho có đờm,khó thở,,,,
Viêm họng,khó nuốt,sưng hạch,ho,đau họng,,,,
Viêm họng,khó nuốt,đau họng,,,,,,
Viêm họng,đau họng,khó nuốt,ho,,,,,
Sốt xuất huyết,đau đầu,đau sau hốc mắt,sốt cao,phát ban,,,,
Cảm lạnh,hắt hơi,nghẹt mũi,ho,sổ mũi,,,,
Viêm xoang,nghẹt mũi,giảm khứu giác,,,,,,
Tiêu chảy cấp,buồn nôn,đau bụng,sốt,tiêu chảy,,,,
Thủy đậu,phát ban,sốt,,,,,,
Cảm cúm,mệt mỏi,đau nhức cơ,đau đầu,sốt cao,đau họng,,,
Tiêu chảy cấp,buồn nôn,tiêu chảy,nôn,,,,,
Dị ứng,nhạy cảm ánh sáng,hắt hơi,ngứa,nghẹt mũi,phát ban,,,
Hen suyễn,khó thở,ho,thở khò khè,mệt mỏi,,,,
Cảm cúm,ho,ớn lạnh,đau nhức cơ,sốt cao,mệt mỏi,đau đầu,,
Tiêu chảy cấp,đau bụng,buồn nôn,mất nước,tiêu chảy,nôn,,,
Đau nửa đầu,nôn,đau đầu,nhạy cảm ánh sáng,,,,,
Tiêu chảy cấp,nôn,đau bụng,tiêu chảy,mất nước,,,,
Tiêu chảy cấp,buồn nôn,tiêu chảy,đau bụng,sốt,,,,
Thủy đậu,mệt mỏi,phát ban,ngứa,,,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,buồn nôn,đầy hơi,,,
Tiêu chảy cấp,nôn,đau bụng,,,,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Hen suyễn,khó thở,ho,thở khò khè,,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,,,,,
Viêm phổi,ho có đờm,mệt mỏi,ớn lạnh,khó thở,sốt cao,,,
Cảm cúm,mệt mỏi,sốt cao,đau đầu,đau nhức cơ,đau khớp,ớn lạnh,,
Đau nửa đầu,đau đầu,nhạy cảm ánh sáng,chóng mặt,,,,,
Cảm lạnh,hắt hơi,mệt mỏi,nghẹt mũi,sổ mũi,ho,,,
Sốt xuất huyết,đau đầu,đau sau hốc mắt,phát ban,sốt cao,đau khớp,,,
Thủy đậu,sốt,ngứa,phát ban,,,,,
Viêm dạ dày,đau bụng,ợ chua,,,,,,
Đau nửa đầu,chóng mặt,đau đầu,buồn nôn,nhạy cảm ánh sáng,nôn,,,
Sốt rét,đau sau hốc mắt,ớn lạnh,sốt cao,đổ mồ hôi,,,,
Viêm xoang,đau mặt,nghẹt mũi,,,,,,
Viêm phế quản,sốt nhẹ,mệt mỏi,khó thở,ho có đờm,,,,
Thủy đậu,sốt,phát ban,ngứa,,,,,
Viêm xoang,giảm khứu giác,đau mặt,sổ mũi,đau đầu,nghẹt mũi,,,
Tiêu chảy cấp,sốt,buồn nôn,đau bụng,,,,,
Viêm phổi,sốt cao,đau ngực,khó thở,ho có đờm,,,,
Sốt rét,đổ mồ hôi,đau đầu,sốt cao,ớn lạnh,,,,
Hen suyễn,ho,khó thở,thở khò khè,đau ngực,,,,
Hen suyễn,khó thở,ho,thở khò khè,đau ngực,,,,
Sốt xuất huyết,chảy máu cam,sốt cao,đau sau hốc mắt,đau khớp,phát ban,,,
Thủy đậu,phát ban,chán ăn,,,,,,
Viêm phổi,đổ mồ hôi,mệt mỏi,khó thở,ho có đờm,sốt cao,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,,,,,
Viêm xoang,sổ mũi,đau mặt,giảm khứu giác,nghẹt mũi,,,,
Dị ứng,phát ban,ngứa,hắt hơi,chảy nước mắt,nghẹt mũi,,,
Dị ứng,hắt hơi,phát ban,ngứa,,,,,
Dị ứng,hắt hơi,phát ban,đau sau hốc mắt,,,,,
Cảm cúm,mệt mỏi,ớn lạnh,sốt cao,đau đầu,đau nhức cơ,,,
Đau nửa đầu,chóng mặt,đau đầu,buồn nôn,nhạy cảm ánh sáng,,,,
Viêm phổi,ho có đờm,đau ngực,khó thở,sốt cao,,,,
Viêm xoang,đau mặt,đau đầu,sổ mũi,nghẹt mũi,đau nhức cơ,,,
Viêm phế quản,khó thở,ho có đờm,mệt mỏi,đau ngực,,,,
Viêm họng,đau họng,khó nuốt,,,,,,
Dị ứng,chảy nước mắt,hắt hơi,ngứa,,,,,
Dị ứng,hắt hơi,,,,,,,
Viêm họng,đau họng,sưng hạch,ho,khó nuốt,,,,
Hen suyễn,khó thở,ho,thở khò khè,,,,,
Viêm xoang,đau đầu,đau mặt,sổ mũi,nghẹt mũi,giảm khứu giác,,,
Cảm lạnh,mệt mỏi,đau bụng,sổ mũi,nghẹt mũi,hắt hơi,,,
Đau nửa đầu,buồn nôn,đau đầu,nhạy cảm ánh sáng,,,,,
Đau nửa đầu,chóng mặt,nhạy cảm ánh sáng,nôn,đau đầu,,,,
Viêm dạ dày,chán ăn,đau bụng,đầy hơi,nôn,ợ chua,,,
Dị ứng,hắt hơi,ngứa,chảy nước mắt,,,,,
Viêm phế quản,khó thở,ho có đờm,sốt nhẹ,mệt mỏi,,,,
Cảm cúm,mệt mỏi,sốt cao,đau nhức cơ,,,,,
Viêm dạ dày,đau bụng,ợ chua,,,,,,
Dị ứng,ngứa,phát ban,hắt hơi,,,,,
Sốt rét,mệt mỏi,đổ mồ hôi,ớn lạnh,buồn nôn,sốt cao,,,
Viêm họng,đau họng,sốt,khó nuốt,đau ngực,,,,
Cảm cúm,mệt mỏi,sốt cao,,,,,,
Cảm cúm,đau họng,mệt mỏi,ớn lạnh,sốt cao,đau nhức cơ,,,
Viêm phổi,mệt mỏi,đau ngực,sốt cao,khó thở,ho có đờm,,,
Viêm phổi,sốt cao,khó thở,ho có đờm,,,,,
Viêm phổi,sốt cao,ho có đờm,ớn lạnh,khó thở,giảm khứu giác,,,
Dị ứng,chảy nước mắt,hắt hơi,phát ban,nghẹt mũi,ngứa,,,
Thủy đậu,phát ban,mệt mỏi,ngứa,,,,,
Thủy đậu,ngứa,mệt mỏi,sốt,phát ban,,,,
Cảm lạnh,đau họng,hắt hơi,sổ mũi,nghẹt mũi,mệt mỏi,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Sốt rét,đổ mồ hôi,sốt cao,ớn lạnh,đau đầu,,,,
Đau nửa đầu,đau đầu,chóng mặt,nôn,,,,,
Viêm họng,nôn,khó nuốt,sưng hạch,ho,đau họng,sốt,,
Cảm lạnh,sổ mũi,đau họng,nghẹt mũi,hắt hơi,,,,
Sốt xuất huyết,đau khớp,buồn nôn,phát ban,đau sau hốc mắt,sốt cao,,,
Viêm phổi,ớn lạnh,ho có đờm,sốt cao,khó thở,,,,
Viêm dạ dày,đau bụng,nôn,đầy hơi,ợ chua,,,,
Cảm cúm,sốt cao,đau đầu,đau nhức cơ,,,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Viêm họng,đau họng,ho,khó nuốt,,,,,
Viêm xoang,nghẹt mũi,sổ mũi,,,,,,
Sốt rét,buồn nôn,sốt cao,ớn lạnh,đổ mồ hôi,,,,
Thủy đậu,phát ban,ngứa,sốt,,,,,
Đau nửa đầu,đau đầu,chóng mặt,buồn nôn,nhạy cảm ánh sáng,,,,
Cảm lạnh,đau họng,mệt mỏi,nghẹt mũi,sổ mũi,hắt hơi,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Tiêu chảy cấp,tiêu chảy,sốt,đau bụng,mất nước,,,,
Sốt xuất huyết,đau sau hốc mắt,phát ban,đau đầu,sốt cao,đau khớp,,,
Viêm phổi,ho có đờm,ớn lạnh,khó thở,đau đầu,mệt mỏi,sốt cao,,
Dị ứng,ngứa,hắt hơi,nghẹt mũi,,,,,
Thủy đậu,ngứa,mệt mỏi,sốt,,,,,
Cảm lạnh,nghẹt mũi,mệt mỏi,sổ mũi,hắt hơi,,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Sốt rét,ớn lạnh,đổ mồ hôi,sốt cao,buồn nôn,mệt mỏi,,,
Sốt xuất huyết,phát ban,buồn nôn,đau sau hốc mắt,sốt cao,,,,
Thủy đậu,chán ăn,phát ban,,,,,,
Hen suyễn,thở khò khè,khó thở,ho,,,,,
Viêm xoang,nghẹt mũi,đau đầu,đau mặt,sổ mũi,,,,
Viêm phổi,sốt cao,ho có đờm,ớn lạnh,khó thở,,,,
Tiêu chảy cấp,sốt,tiêu chảy,đau bụng,nôn,mất nước,,,
Tiêu chảy cấp,tiêu chảy,nôn,buồn nôn,ngứa,mất nước,đau bụng,,
Đau nửa đầu,đau đầu,chóng mặt,nôn,nhạy cảm ánh sáng,,,,
Đau nửa đầu,nôn,đau đầu,nhạy cảm ánh sáng,,,,,
Thủy đậu,sốt,ngứa,phát ban,,,,,
Viêm phế quản,ho có đờm,đau ngực,,,,,,
Viêm dạ dày,ợ chua,buồn nôn,đau bụng,đầy hơi,,,,
Thủy đậu,mệt mỏi,phát ban,sốt,,,,,
Viêm dạ dày,buồn nôn,nôn,đầy hơi,đau bụng,ợ chua,,,
Viêm phổi,ớn lạnh,ho có đờm,nghẹt mũi,khó thở,sốt cao,đau ngực,,
Cảm lạnh,đau họng,nghẹt mũi,ho,hắt hơi,chóng mặt,mệt mỏi,sổ mũi,
Viêm dạ dày,ợ chua,nôn,đau bụng,chán ăn,,,,
Viêm dạ dày,ợ chua,buồn nôn,đau bụng,nôn,,,,
Viêm họng,sưng hạch,khó nuốt,sốt,đau họng,ho,,,
Dị ứng,ngứa,hắt hơi,,,,,,
Cảm lạnh,mệt mỏi,sổ mũi,nghẹt mũi,đau họng,hắt hơi,,,
Viêm phổi,khó thở,ho có đờm,đau mặt,sốt cao,,,,
Viêm phế quản,ho có đờm,đau ngực,sốt nhẹ,mệt mỏi,,,,
Hen suyễn,thở khò khè,ho,đau ngực,khó thở,đau họng,,,
Viêm phế quản,đau ngực,ho có đờm,mệt mỏi,khó thở,,,,
Viêm phế quản,ho có đờm,khó thở,mệt mỏi,sốt nhẹ,đau ngực,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Viêm họng,đau họng,ho,sốt,sưng hạch,,,,
Hen suyễn,ho,khó thở,thở khò khè,đau ngực,,,,
Sốt rét,ớn lạnh,đổ mồ hôi,sốt cao,,,,,
Viêm họng,khó nuốt,ho,đau họng,sưng hạch,,,,
Viêm dạ dày,đau bụng,ợ chua,nghẹt mũi,nôn,buồn nôn,,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,đau đầu,,,,,
Tiêu chảy cấp,đau bụng,tiêu chảy,nôn,mất nước,,,,
Viêm phế quản,ho có đờm,sốt nhẹ,,,,,,
Sốt xuất huyết,đau sau hốc mắt,đau đầu,buồn nôn,phát ban,sốt cao,đau khớp,,
Đau nửa đầu,nhạy cảm ánh sáng,đau đầu,buồn nôn,chóng mặt,,,,
Cảm lạnh,nghẹt mũi,hắt hơi,sổ mũi,,,,,
Viêm dạ dày,đau bụng,ợ chua,đầy hơi,buồn nôn,,,,
Tiêu chảy cấp,mất nước,nôn,đau bụng,tiêu chảy,,,,
Dị ứng,nghẹt mũi,ngứa,hắt hơi,,,,,
Dị ứng,nghẹt mũi,ngứa,chảy nước mắt,hắt hơi,,,,
Viêm xoang,đau mặt,nghẹt mũi,,,,,,
Viêm phế quản,khó thở,ho có đờm,sốt nhẹ,mệt mỏi,đau ngực,,,
Dị ứng,hắt hơi,chảy nước mắt,,,,,,
Viêm họng,sốt,khó nuốt,ho,đau họng,chảy nước mắt,,,
Sốt rét,đau đầu,sốt cao,ớn lạnh,mệt mỏi,,,,
Viêm xoang,đau mặt,nghẹt mũi,đau đầu,,,,,
Cảm lạnh,hắt hơi,nghẹt mũi,mệt mỏi,đau họng,sổ mũi,,,
Viêm phổi,khó thở,ho có đờm,mệt mỏi,đau ngực,sốt cao,,,
Dị ứng,phát ban,hắt hơi,ngứa,chảy nước mắt,,,,
Sốt xuất huyết,sốt cao,phát ban,chảy máu cam,buồn nôn,đau sau hốc mắt,,,
Viêm dạ dày,đau bụng,đầy hơi,ợ chua,chán ăn,,,,
Viêm phổi,sốt cao,khó thở,ho có đờm,ớn lạnh,,,,
Cảm cúm,đau đầu,sốt cao,đau nhức cơ,đau họng,mệt mỏi,,,
Viêm phế quản,sốt nhẹ,khó thở,ho có đờm,,,,,
Viêm phế quản,ho có đờm,hắt hơi,khó thở,,,,,
Thủy đậu,ngứa,chán ăn,,,,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Viêm dạ dày,buồn nôn,đầy hơi,ợ chua,chán ăn,đau bụng,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Tiêu chảy cấp,mất nước,tiêu chảy,đau bụng,,,,,
Cảm cúm,đau đầu,sốt cao,đau nhức cơ,ớn lạnh,mệt mỏi,,,
Viêm dạ dày,đau bụng,ợ chua,buồn nôn,chán ăn,,,,
Viêm họng,đau họng,khó nuốt,sốt,,,,,
Sốt rét,ớn lạnh,mệt mỏi,đổ mồ hôi,nhạy cảm ánh sáng,sốt cao,,,
Viêm phế quản,khó thở,ho có đờm,sốt nhẹ,,,,,
Sốt xuất huyết,sốt cao,đau khớp,đổ mồ hôi,chảy máu cam,phát ban,đau sau hốc mắt,buồn nôn,
Viêm dạ dày,ợ chua,đau bụng,nhạy cảm ánh sáng,nôn,,,,
Viêm xoang,đau đầu,đau mặt,nghẹt mũi,giảm khứu giác,sổ mũi,,,
Cảm cúm,sốt cao,ớn lạnh,đau nhức cơ,mệt mỏi,đau họng,,,
Cảm cúm,mệt mỏi,sốt cao,,,,,,
Sốt xuất huyết,đau khớp,đau đầu,đau sau hốc mắt,buồn nôn,phát ban,sốt cao,,
Cảm lạnh,sổ mũi,mệt mỏi,nghẹt mũi,hắt hơi,,,,
Cảm cúm,đau đầu,mệt mỏi,sốt cao,đau nhức cơ,,,,
Tiêu chảy cấp,sốt,đau bụng,mất nước,tiêu chảy,,,,
Sốt xuất huyết,đau khớp,sốt cao,phát ban,buồn nôn,chảy máu cam,đau sau hốc mắt,,
Thủy đậu,phát ban,buồn nôn,sốt,mệt mỏi,ngứa,,,
Viêm xoang,nghẹt mũi,đau mặt,,,,,,
Sốt xuất huyết,đau sau hốc mắt,sốt cao,đau khớp,chảy máu cam,phát ban,,,
Tiêu chảy cấp,mất nước,đau bụng,tiêu chảy,,,,,
Viêm xoang,đau mặt,sổ mũi,giảm khứu giác,nghẹt mũi,,,,
Sốt rét,mệt mỏi,đổ mồ hôi,đau đầu,sốt cao,ớn lạnh,,,
Viêm họng,sưng hạch,khó nuốt,đau họng,,,,,
Viêm họng,đầy hơi,đau họng,khó nuốt,sốt,,,,
Sốt xuất huyết,phát ban,sốt cao,buồn nôn,đau sau hốc mắt,đau đầu,đau khớp,,
Tiêu chảy cấp,đau bụng,nôn,tiêu chảy,,,,,
Viêm phổi,khó thở,ho có đờm,,,,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Viêm phổi,ớn lạnh,mệt mỏi,sốt cao,ho có đờm,khó thở,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Viêm phế quản,ho có đờm,khó thở,sốt nhẹ,,,,,
Hen suyễn,thở khò khè,khó thở,đau ngực,,,,,
Viêm họng,đau họng,sốt,khó nuốt,sưng hạch,,,,
Sốt rét,sốt cao,đau đầu,ớn lạnh,đổ mồ hôi,,,,
Viêm phổi,ho có đờm,khó thở,mệt mỏi,sốt cao,,,,
Cảm cúm,ớn lạnh,mệt mỏi,sốt cao,ho,đau nhức cơ,đau họng,,
Viêm dạ dày,đau bụng,ợ chua,,,,,,
Viêm dạ dày,buồn nôn,ợ chua,chán ăn,đau bụng,,,,
Cảm cúm,đau nhức cơ,mệt mỏi,sốt cao,,,,,
Dị ứng,hắt hơi,ngứa,,,,,,
Sốt rét,ớn lạnh,đổ mồ hôi,đau đầu,sốt cao,,,,
Viêm họng,sốt,đau họng,tiêu chảy,ho,khó nuốt,,,
Sốt rét,ớn lạnh,đổ mồ hôi,sốt cao,,,,,
Thủy đậu,mệt mỏi,ngứa,chán ăn,sốt,phát ban,,,
Viêm phế quản,ho có đờm,khó thở,đau ngực,mệt mỏi,,,,
Hen suyễn,khó thở,thở khò khè,đau ngực,ho,,,,
Đau nửa đầu,chóng mặt,nôn,nhạy cảm ánh sáng,,,,,
Sốt xuất huyết,sốt cao,chảy máu cam,đau sau hốc mắt,phát ban,,,,
Viêm xoang,đau mặt,đau đầu,nghẹt mũi,,,,,
Sốt rét,ớn lạnh,đổ mồ hôi,,,,,,
Cảm cúm,đau nhức cơ,mệt mỏi,đau đầu,sốt cao,ớn lạnh,,,
Hen suyễn,ho,đau sau hốc mắt,thở khò khè,đau ngực,,,,
Viêm xoang,nghẹt mũi,giảm khứu giác,đau mặt,đau đầu,,,,
Viêm phế quản,sốt nhẹ,ho có đờm,khó thở,,,,,
Tiêu chảy cấp,tiêu chảy,nôn,buồn nôn,đau bụng,,,,
Thủy đậu,chán ăn,phát ban,ngứa,,,,,
Thủy đậu,phát ban,sốt,ngứa,,,,,
Viêm phế quản,ho có đờm,khó thở,,,,,,
Thủy đậu,phát ban,ngứa,chán ăn,,,,,
Sốt rét,đổ mồ hôi,buồn nôn,sốt cao,đau đầu,mệt mỏi,ớn lạnh,,
Viêm họng,đau họng,sốt,khó nuốt,,,,,
Thủy đậu,phát ban,ngứa,chán ăn,sốt,,,,
Đau nửa đầu,đau đầu,nôn,nhạy cảm ánh sáng,chóng mặt,buồn nôn,,,
Dị ứng,phát ban,ngứa,hắt hơi,,,,,
Sốt rét,ớn lạnh,buồn nôn,đau đầu,đổ mồ hôi,sốt cao,,,
Sốt xuất huyết,chảy máu cam,phát ban,buồn nôn,đau khớp,sốt cao,đau sau hốc mắt,đau đầu,
Thủy đậu,mệt mỏi,sốt,phát ban,ngứa,chán ăn,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,mất nước,,,,,
Viêm phế quản,ho có đờm,mệt mỏi,khó thở,,,,,
Cảm cúm,sốt cao,ho,ớn lạnh,mệt mỏi,đau nhức cơ,,,
Đau nửa đầu,chóng mặt,nhạy cảm ánh sáng,đau đầu,,,,,
Viêm xoang,nghẹt mũi,,,,,,,
Viêm phổi,sốt cao,khó thở,ho có đờm,ớn lạnh,,,,
Tiêu chảy cấp,đau bụng,buồn nôn,,,,,,
Cảm lạnh,ho,đau họng,sổ mũi,hắt hơi,,,,
Viêm phế quản,khó thở,ho có đờm,,,,,,
Viêm dạ dày,đầy hơi,đau bụng,ợ chua,buồn nôn,nôn,,,
Sốt xuất huyết,sốt cao,phát ban,chảy máu cam,đau đầu,đau sau hốc mắt,,,
Hen suyễn,ho,thở khò khè,đau ngực,khó thở,,,,
Viêm họng,đau họng,sưng hạch,khó nuốt,sốt,,,,
Dị ứng,ngứa,phát ban,hắt hơi,chảy nước mắt,,,,
Viêm họng,ho,sốt,khó nuốt,đau họng,sưng hạch,,,
Viêm họng,sưng hạch,khó nuốt,ho,đau họng,,,,
Tiêu chảy cấp,tiêu chảy,đau bụng,buồn nôn,,,,,
Sốt xuất huyết,đau sau hốc mắt,phát ban,sốt cao,chảy máu cam,,,,
Viêm họng,khó nuốt,đau họng,sốt,,,,,
Viêm phế quản,ho có đờm,khó thở,sốt nhẹ,mệt mỏi,,,,
Viêm xoang,đau mặt,nghẹt mũi,giảm khứu giác,,,,,
Dị ứng,ngứa,hắt hơi,,,,,,
Dị ứng,phát ban,hắt hơi,,,,,,
Viêm xoang,đau đầu,giảm khứu giác,đau mặt,nghẹt mũi,,,,
Viêm xoang,đau đầu,đau mặt,sổ mũi,,,,,
Đau nửa đầu,nôn,buồn nôn,nhạy cảm ánh sáng,đau đầu,,,,
Thủy đậu,ngứa,sốt,mệt mỏi,phát ban,,,,
Thủy đậu,ớn lạnh,ngứa,phát ban,,,,,
Hen suyễn,khó thở,ho,đau ngực,thở khò khè,,,,
Thủy đậu,ngứa,mệt mỏi,phát ban,chán ăn,sốt,,,
Viêm dạ dày,nôn,ợ chua,đau bụng,,,,,
Viêm phổi,ớn lạnh,ho có đờm,khó thở,sốt cao,mệt mỏi,,,
Cảm lạnh,nghẹt mũi,mệt mỏi,hắt hơi,ho,sổ mũi,,,
Viêm xoang,sổ mũi,nghẹt mũi,đau đầu,đau mặt,,,,
Viêm họng,ho,sưng hạch,khó nuốt,đau họng,,,,
Viêm phổi,sốt cao,mệt mỏi,khó thở,ớn lạnh,ho có đờm,,,
Sốt rét,ớn lạnh,đau đầu,đổ mồ hôi,sốt cao,,,,
Viêm xoang,đau mặt,nghẹt mũi,đau đầu,,,,,
Hen suyễn,thở khò khè,đau ngực,khó thở,ho,,,,
Đau nửa đầu,buồn nôn,nhạy cảm ánh sáng,chóng mặt,,,,,
Viêm họng,sốt,ho,đau họng,khó nuốt,sưng hạch,,,
Viêm xoang,sổ mũi,nghẹt mũi,đau mặt,,,,,
Viêm họng,đau họng,sốt,khó nuốt,,,,,
Sốt xuất huyết,đau sau hốc mắt,đau khớp,phát ban,sốt cao,buồn nôn,,,
Viêm phổi,sốt cao,mệt mỏi,đau ngực,khó thở,ho có đờm,,,
Sốt xuất huyết,sốt cao,phát ban,đau sau hốc mắt,,,,,
Sốt rét,sốt cao,ớn lạnh,đổ mồ hôi,mệt mỏi,đau đầu,,,
Viêm xoang,đau đầu,đau mặt,nghẹt mũi,,,,,
Cảm lạnh,ho,hắt hơi,nghẹt mũi,sổ mũi,nhạy cảm ánh sáng,,,
Cảm cúm,đau nhức cơ,ho,đau đầu,mệt mỏi,sốt cao,,,
Thủy đậu,phát ban,ngứa,sốt,mệt mỏi,,,,
Cảm lạnh,đau họng,sổ mũi,hắt hơi,ho,nghẹt mũi,,,
Viêm dạ dày,chán ăn,đau bụng,ợ chua,,,,,
Thủy đậu,nôn,mệt mỏi,phát ban,sốt,ngứa,chán ăn,,
Cảm cúm,sốt cao,đau họng,mệt mỏi,đau nhức cơ,ớn lạnh,,,
Viêm xoang,phát ban,nghẹt mũi,giảm khứu giác,đau mặt,,,,
Viêm phổi,ớn lạnh,đau ngực,mệt mỏi,sốt cao,khó thở,,,
Hen suyễn,khó thở,thở khò khè,,,,,,
Viêm dạ dày,buồn nôn,đầy hơi,đau bụng,nôn,,,,
Hen suyễn,ho,khó thở,thở khò khè,,,,,
Cảm cúm,sốt cao,mệt mỏi,đau họng,đau nhức cơ,,,,
Hen suyễn,thở khò khè,khó thở,,,,,,
Tiêu chảy cấp,tiêu chảy,nôn,sốt,đau bụng,,,,
Thủy đậu,ngứa,phát ban,sốt,,,,,
Viêm xoang,nghẹt mũi,đau mặt,đau đầu,,,,,
Viêm phế quản,khó thở,đau ngực,mệt mỏi,đau mặt,ho có đờm,,,
Cảm cúm,ho,sốt cao,ớn lạnh,đau nhức cơ,đau đầu,đau họng,mệt mỏi,
Thủy đậu,phát ban,ngứa,,,,,,
Hen suyễn,sốt,đau ngực,thở khò khè,khó thở,,,,
Viêm họng,sưng hạch,sốt,khó nuốt,đau họng,,,,
Viêm phế quản,khó thở,đau ngực,ho có đờm,sốt nhẹ,,,,
Sốt rét,ớn lạnh,đau đầu,sốt cao,đổ mồ hôi,,,,
Thủy đậu,mệt mỏi,ngứa,phát ban,,,,,
Viêm họng,sưng hạch,đau họng,khó nuốt,,,,,
Viêm họng,thở khò khè,khó nuốt,sưng hạch,,,,,
Viêm họng,sưng hạch,đau họng,khó nuốt,sốt,,,,
Sốt xuất huyết,đau khớp,đau sau hốc mắt,buồn nôn,phát ban,sốt cao,,,
Viêm phế quản,ho có đờm,mất nước,,,,,,
Đau nửa đầu,buồn nôn,đau đầu,nôn,nhạy cảm ánh sáng,,,,
Viêm phổi,ho có đờm,sốt cao,khó thở,đau ngực,mệt mỏi,,,
Sốt xuất huyết,sốt cao,đau khớp,đau đầu,phát ban,chảy máu cam,,,
Viêm họng,sưng hạch,khó nuốt,đau họng,ho,,,,
Viêm xoang,đau mặt,nghẹt mũi,,,,,,
